0	1	2	3	4	5	6	7	8	9	10	11	12	x	CL	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
46.999	0	0	0	0	0	0	118.5124444	0	0	238.1255714	123.8541429	0	x	92	0	0	0	0	0	0	80.117725	0	0	164.638	75.82142857	0
47	0	0	0	0	0	0	0	0	0	233.6063571	124.2132143	0	x	93	0	0	0	0	0	0	77.623	0	0	159.01	72.953	0
47.999	0	0	0	0	0	0	0	0	0	233.6063571	124.2132143	0	x	94	0	0	0	0	0	0	77.39466667	0	0	153.382	72.87552381	0
48	0	0	0	0	0	0	135.3408889	0	0	229.0871429	124.5722857	0	x	95	0	0	0	0	0	0	77.16633333	0	0	147.754	72.79804762	0
48.999	0	0	0	0	0	0	135.3408889	0	0	229.0871429	124.5722857	0	x	96	0	0	0	0	0	0	76.938	0	0	142.126	72.72057143	0
49	0	0	0	0	0	0	143.7551111	0	0	224.5679286	124.9313571	0	x	97	0	0	0	0	0	0	0	0	0	136.498	72.64309524	0
49.999	0	0	0	0	0	0	143.7551111	0	0	224.5679286	124.9313571	0	x	98	0	0	0	0	0	0	0	0	0	130.87	72.56561905	0
50	0	0	0	0	0	0	152.1693333	0	0	220.0487143	125.2904286	0	x	99	0	0	0	0	0	0	0	0	0	125.242	72.48814286	0
50.999	0	0	0	0	0	0	152.1693333	0	0	220.0487143	125.2904286	0	x	100	0	0	0	0	0	0	0	0	0	119.614	72.41066667	0
51	0	0	0	0	0	0	160.5835556	0	0	215.5295	125.6495	0	x	101	0	0	0	0	0	0	0	0	0	121.3856429	72.33319048	0
51.999	0	0	0	0	0	0	160.5835556	0	0	215.5295	125.6495	0	x	102	0	0	0	0	0	0	75.568	0	0	123.1572857	72.25571429	0
52	0	55.446	101.947	0	0	0	168.9977778	0	0	211.0102857	126.0085714	0	x	103	0	0	0	0	0	0	0	0	0	124.9289286	72.1782381	0
52.999	0	55.446	101.947	0	0	0	168.9977778	0	0	211.0102857	126.0085714	0	x	104	0	0	0	0	0	0	0	0	0	126.7005714	72.1007619	0
53	0	0	0	0	0	0	177.412	0	0	206.4910714	126.3676429	0	x	105	0	0	0	0	0	0	0	0	0	128.4722143	72.02328571	0
53.999	0	0	0	0	0	0	177.412	0	0	206.4910714	126.3676429	0	x	106	0	0	0	0	0	0	0	0	0	130.2438571	71.94580952	0
54	0	0	0	0	0	0	174.917275	0	0	201.9718571	126.7267143	0	x	107	0	0	0	0	0	0	0	0	0	132.0155	71.86833333	0
54.999	0	0	0	0	0	0	174.917275	0	0	201.9718571	126.7267143	0	x	108	0	0	0	0	0	0	0	0	0	133.7871429	71.79085714	0
55	0	0	0	0	0	0	172.42255	0	0	197.4526429	127.0857857	0	x	109	0	0	0	0	0	0	0	0	0	135.5587857	71.71338095	0
55.999	0	0	0	0	0	0	172.42255	0	0	197.4526429	127.0857857	0	x	110	0	0	0	0	0	0	0	0	0	137.3304286	71.63590476	0
56	0	0	0	0	0	0	169.927825	0	0	192.9334286	127.4448571	0	x	111	0	0	0	0	0	0	0	0	0	139.1020714	71.55842857	0
56.999	0	0	0	0	0	0	169.927825	0	0	192.9334286	127.4448571	0	x	112	0	0	0	0	0	0	0	0	0	0	71.48095238	0
57	0	0	0	0	0	0	167.4331	0	0	188.4142143	127.8039286	0	x	113	0	0	0	0	0	0	0	0	0	142.6453571	71.40347619	0
57.999	0	0	0	0	0	0	167.4331	0	0	188.4142143	127.8039286	0	x	114	0	0	0	0	0	0	0	0	0	144.417	71.326	0
58	0	0	0	0	0	0	164.938375	0	0	183.895	128.163	0	x	115	0	0	0	0	0	0	74.5604	0	0	143.082	72.86816	0
58.999	0	0	0	0	0	0	164.938375	0	0	183.895	128.163	0	x	116	0	0	0	0	0	0	76.2928	0	0	141.747	74.41032	0
59	0	0	0	0	0	0	162.44365	0	0	183.4111429	128.5220714	0	x	117	0	0	0	0	0	0	78.0252	0	0	0	0	0
59.999	0	0	0	0	0	0	162.44365	0	0	183.4111429	128.5220714	0	x	118	0	55.446	101.947	0	0	0	79.7576	0	0	139.077	77.49464	0
60	0	0	0	0	0	0	159.948925	0	0	182.9272857	128.8811429	0	x	119	0	0	0	0	0	0	0	0	0	137.742	79.0368	0
60.999	0	0	0	0	0	0	159.948925	0	0	182.9272857	128.8811429	0	x	120	0	0	0	0	0	0	0	0	0	136.407	0	0
61	0	0	0	0	0	0	157.4542	0	0	182.4434286	129.2402143	0	x	121	0	0	101.947	0	0	0	0	0	0	135.072	82.12112	0
61.999	0	0	0	0	0	0	157.4542	0	0	182.4434286	129.2402143	0	x	122	0	55.446	0	0	0	0	0	0	0	133.737	83.66328	0
62	0	0	0	0	0	0	154.959475	0	0	181.9595714	129.5992857	0	x	123	0	0	0	0	0	0	0	0	0	132.402	85.20544	0
62.999	0	0	0	0	0	0	154.959475	0	0	181.9595714	129.5992857	0	x	124	0	0	0	0	0	0	0	0	0	131.067	0	0
63	0	0	0	0	0	0	152.46475	0	0	181.4757143	129.9583571	0	x	125	0	55.446	101.947	0	0	0	0	0	0	129.732	88.28976	0
63.999	0	0	0	0	0	0	152.46475	0	0	181.4757143	129.9583571	0	x	126	0	0	0	0	0	0	0	0	0	128.397	89.83192	0
64	0	0	0	0	0	0	149.970025	0	0	180.9918571	130.3174286	0	x	127	0	0	0	0	0	0	0	0	0	127.062	0	0
64.999	0	0	0	0	0	0	149.970025	0	0	180.9918571	130.3174286	0	x	128	0	0	0	0	0	0	0	0	0	125.727	0	0
65	0	0	0	0	0	0	147.4753	0	0	180.508	130.6765	0	x	129	0	0	0	0	0	0	0	0	0	125.8360714	0	0
65.999	0	0	0	0	0	0	147.4753	0	0	180.508	130.6765	0	x	130	0	0	0	0	0	0	0	0	0	125.9451429	0	0
66	0	0	0	0	0	0	144.980575	0	0	180.0241429	131.0355714	0	x	131	0	0	0	0	0	0	0	0	0	126.0542143	0	0
66.999	0	0	0	0	0	0	144.980575	0	0	180.0241429	131.0355714	0	x	132	0	0	0	0	0	0	0	0	0	126.1632857	0	0
67	0	55.446	101.947	0	0	0	142.48585	0	0	179.5402857	131.3946429	0	x	133	0	0	0	0	0	0	0	0	0	126.2723571	0	0
67.999	0	55.446	101.947	0	0	0	142.48585	0	0	179.5402857	131.3946429	0	x	134	0	0	0	0	0	0	0	0	0	126.3814286	0	0
68	0	0	0	0	0	0	139.991125	0	0	179.0564286	131.7537143	0	x	135	0	0	0	0	0	0	0	0	0	126.4905	0	0
68.999	0	0	0	0	0	0	139.991125	0	0	179.0564286	131.7537143	0	x	136	0	0	0	0	0	0	0	0	0	126.5995714	0	0
69	0	0	0	0	0	0	137.4964	0	0	178.5725714	132.1127857	0	x	137	0	0	0	0	0	0	0	0	0	126.7086429	0	0
69.999	0	0	0	0	0	0	137.4964	0	0	178.5725714	132.1127857	0	x	138	0	0	0	0	0	0	0	0	0	126.8177143	0	0
70	0	0	0	0	0	0	135.001675	0	0	178.0887143	132.4718571	0	x	139	0	0	0	0	0	0	0	0	0	126.9267857	0	0
70.999	0	0	0	0	0	0	135.001675	0	0	178.0887143	132.4718571	0	x	140	0	0	0	0	0	0	0	0	0	127.0358571	0	0
71	0	0	0	0	0	0	132.50695	0	0	177.6048571	132.8309286	0	x	141	0	0	0	0	0	0	0	0	0	127.1449286	0	0
71.999	0	0	0	0	0	0	132.50695	0	0	177.6048571	132.8309286	0	x	142	0	0	0	0	0	0	121.3352	0	0	127.254	0	0
72	0	0	0	0	0	0	130.012225	0	0	177.121	133.19	0	x	143	0	0	0	0	0	0	0	0	0	128.9256429	0	0
72.999	0	0	0	0	0	0	130.012225	0	0	177.121	133.19	0	x	144	0	0	0	0	0	0	0	0	0	130.5972857	0	0
73	0	0	0	0	0	0	127.5175	0	0	178.6413571	130.3215714	0	x	145	0	0	0	0	0	0	0	0	0	132.2689286	0	0
73.999	0	0	0	0	0	0	127.5175	0	0	178.6413571	130.3215714	0	x	146	0	0	0	0	0	0	0	0	0	133.9405714	0	0
74	0	55.446	101.947	0	0	0	125.022775	0	0	180.1617143	127.4531429	0	x	147	0	0	0	0	0	0	0	0	0	135.6122143	0	0
74.999	0	55.446	101.947	0	0	0	125.022775	0	0	180.1617143	127.4531429	0	x	148	0	0	0	0	0	0	0	0	0	137.2838571	0	0
75	0	0	0	0	0	0	122.52805	0	0	181.6820714	124.5847143	0	x	149	0	0	0	0	0	0	0	0	0	138.9555	0	0
75.999	0	0	0	0	0	0	122.52805	0	0	181.6820714	124.5847143	0	x	150	0	0	0	0	0	0	135.1944	0	0	0	0	0
76	0	0	0	0	0	0	120.033325	0	0	183.2024286	121.7162857	0	x	151	0	0	0	0	0	0	136.9268	0	0	0	0	0
76.999	0	0	0	0	0	0	120.033325	0	0	183.2024286	121.7162857	0	x	152	0	0	0	0	0	0	138.6592	0	0	0	0	0
77	0	0	0	0	0	0	117.5386	0	0	184.7227857	118.8478571	0	x	153	0	0	0	0	0	0	0	0	0	0	0	0
77.999	0	0	0	0	0	0	117.5386	0	0	184.7227857	118.8478571	0	x	154	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	0	0	0	0	115.043875	0	0	186.2431429	115.9794286	0	x	155	0	55.446	101.947	0	0	0	0	0	0	148.9853571	0	0
78.999	0	0	0	0	0	0	115.043875	0	0	186.2431429	115.9794286	0	x	156	0	55.446	101.947	0	0	0	0	0	0	0	0	0
79	0	0	0	0	0	0	112.54915	0	0	187.7635	113.111	0	x	157	0	55.446	0	0	0	0	0	0	0	149.5525	0	0
79.999	0	0	0	0	0	0	112.54915	0	0	187.7635	113.111	0	x	158	0	0	0	0	0	0	0	0	0	148.448	139.18104	0
80	0	0	0	0	0	0	110.054425	0	0	189.2838571	110.2425714	0	x	159	0	0	0	0	0	0	0	0	0	147.3435	0	0
80.999	0	0	0	0	0	0	110.054425	0	0	189.2838571	110.2425714	0	x	160	0	0	0	0	0	0	0	0	0	146.239	142.26536	0
81	0	0	0	0	0	0	107.5597	0	0	190.8042143	107.3741429	0	x	161	0	0	0	0	0	0	0	0	0	145.1345	0	0
81.999	0	0	0	0	0	0	107.5597	0	0	190.8042143	107.3741429	0	x	162	0	0	0	0	0	0	0	0	0	144.03	0	0
82	0	0	0	0	0	0	105.064975	0	0	192.3245714	104.5057143	0	x	163	0	55.446	101.947	0	0	0	0	0	0	142.9255	146.89184	0
82.999	0	0	0	0	0	0	105.064975	0	0	192.3245714	104.5057143	0	x	164	0	55.446	101.947	0	0	0	0	0	0	141.821	148.434	0
83	0	0	0	0	0	0	102.57025	0	0	193.8449286	101.6372857	0	x	165	0	0	0	0	0	0	0	0	0	140.684	149.45685	0
83.999	0	0	0	0	0	0	102.57025	0	0	193.8449286	101.6372857	0	x	166	0	0	0	0	0	0	0	0	0	140.684	150.4797	0
84	0	0	0	0	0	0	100.075525	0	0	195.3652857	98.76885714	0	x	167	0	0	0	0	0	0	0	0	0	140.684	151.50255	0
84.999	0	0	0	0	0	0	100.075525	0	0	195.3652857	98.76885714	0	x	168	0	0	0	0	0	0	0	0	0	140.684	152.5254	0
85	0	0	0	0	0	0	97.5808	0	0	196.8856429	95.90042857	0	x	169	0	0	0	0	0	0	0	0	0	140.684	0	0
85.999	0	0	0	0	0	0	97.5808	0	0	196.8856429	95.90042857	0	x	170	0	0	0	0	0	0	0	0	0	140.684	154.5711	0
86	0	0	0	0	0	0	95.086075	0	0	198.406	93.032	0	x	171	0	0	0	0	0	0	0	0	0	140.684	155.59395	0
86.999	0	0	0	0	0	0	95.086075	0	0	198.406	93.032	0	x	172	0	55.446	101.947	0	0	0	0	0	0	140.684	156.6168	0
87	0	0	0	0	0	0	92.59135	0	0	192.778	90.16357143	0	x	173	0	55.446	101.947	0	0	0	0	0	0	140.684	157.63965	0
87.999	0	0	0	0	0	0	92.59135	0	0	192.778	90.16357143	0	x	174	0	55.446	101.947	0	0	0	166.458	0	0	140.684	158.6625	0
88	0	0	0	0	0	0	90.096625	0	0	187.15	87.29514286	0	x	175	0	55.446	101.947	0	0	0	0	0	0	140.684	159.68535	0
88.999	0	0	0	0	0	0	90.096625	0	0	187.15	87.29514286	0	x	176	0	0	0	0	0	0	0	0	0	140.684	160.7082	0
89	0	0	0	0	0	0	87.6019	0	0	181.522	84.42671429	0	x	177	0	55.446	101.947	0	0	0	168.561	0	0	140.684	161.73105	0
89.999	0	0	0	0	0	0	87.6019	0	0	181.522	84.42671429	0	x	178	0	55.446	101.947	0	0	0	169.262	0	0	140.684	162.7539	0
90	0	0	0	0	0	0	85.107175	0	0	175.894	81.55828571	0	x	179	0	55.446	0	0	0	0	0	0	0	160.0098125	163.77675	0
90.999	0	0	0	0	0	0	85.107175	0	0	175.894	81.55828571	0	x	180	0	55.446	101.947	0	0	0	0	0	0	162.767125	0	0
91	0	0	0	0	0	0	82.61245	0	0	170.266	78.68985714	0	x	181	0	55.446	101.947	0	0	0	171.365	0	0	165.5244375	165.82245	0
91.999	0	0	0	0	0	0	82.61245	0	0	170.266	78.68985714	0	x	182	0	0	0	0	0	0	0	0	0	168.28175	166.8453	0
92	0	0	0	0	0	0	80.117725	0	0	164.638	75.82142857	0	x	183	0	0	0	0	0	0	0	0	0	171.0390625	167.86815	0
