0	1	2	3	4	5	6	7	8	9	10	11	12	x	SO4	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
51	0	0	0	0	0	0	71.80920455	0	0	83.731	50.42695455	0	x	101	0	0	0	0	0	0	0	0	0	51.93014286	34.00127473	0
51.999	0	0	0	0	0	0	71.80920455	0	0	83.731	50.42695455	0	x	102	0	0	0	0	0	0	37.42166484	0	0	51.81028571	34.01143407	0
52	0	83.02	80.204	0	0	0	71.01555682	0	0	80.51642857	50.03393182	0	x	103	0	0	0	0	0	0	0	0	0	51.69042857	34.02159341	0
52.999	0	83.02	80.204	0	0	0	71.01555682	0	0	80.51642857	50.03393182	0	x	104	0	0	0	0	0	0	0	0	0	51.57057143	34.03175275	0
53	0	0	0	0	0	0	70.22190909	0	0	77.30185714	49.64090909	0	x	105	0	0	0	0	0	0	0	0	0	51.45071429	34.04191209	0
53.999	0	0	0	0	0	0	70.22190909	0	0	77.30185714	49.64090909	0	x	106	0	0	0	0	0	0	0	0	0	51.33085714	34.05207143	0
54	0	0	0	0	0	0	69.42826136	0	0	74.08728571	49.24788636	0	x	107	0	0	0	0	0	0	0	0	0	51.211	34.06223077	0
54.999	0	0	0	0	0	0	69.42826136	0	0	74.08728571	49.24788636	0	x	108	0	0	0	0	0	0	0	0	0	51.09114286	34.07239011	0
55	0	0	0	0	0	0	68.63461364	0	0	70.87271429	48.85486364	0	x	109	0	0	0	0	0	0	0	0	0	50.97128571	34.08254945	0
55.999	0	0	0	0	0	0	68.63461364	0	0	70.87271429	48.85486364	0	x	110	0	0	0	0	0	0	0	0	0	50.85142857	34.09270879	0
56	0	0	0	0	0	0	67.84096591	0	0	67.65814286	48.46184091	0	x	111	0	0	0	0	0	0	0	0	0	50.73157143	34.10286813	0
56.999	0	0	0	0	0	0	67.84096591	0	0	67.65814286	48.46184091	0	x	112	0	0	0	0	0	0	0	0	0	0	34.11302747	0
57	0	0	0	0	0	0	67.04731818	0	0	64.44357143	48.06881818	0	x	113	0	0	0	0	0	0	0	0	0	50.49185714	34.12318681	0
57.999	0	0	0	0	0	0	67.04731818	0	0	64.44357143	48.06881818	0	x	114	0	0	0	0	0	0	0	0	0	50.372	34.13334615	0
58	0	0	0	0	0	0	66.25367045	0	0	61.229	47.67579545	0	x	115	0	0	0	0	0	0	35.89873626	0	0	49.73114286	34.14350549	0
58.999	0	0	0	0	0	0	66.25367045	0	0	61.229	47.67579545	0	x	116	0	0	0	0	0	0	35.78158791	0	0	49.09028571	34.15366484	0
59	0	0	0	0	0	0	65.46002273	0	0	60.9705	47.28277273	0	x	117	0	0	0	0	0	0	35.66443956	0	0	0	0	0
59.999	0	0	0	0	0	0	65.46002273	0	0	60.9705	47.28277273	0	x	118	0	83.02	80.204	0	0	0	35.54729121	0	0	47.80857143	34.17398352	0
60	0	0	0	0	0	0	64.666375	0	0	60.712	46.88975	0	x	119	0	0	0	0	0	0	0	0	0	47.16771429	34.18414286	0
60.999	0	0	0	0	0	0	64.666375	0	0	60.712	46.88975	0	x	120	0	0	0	0	0	0	0	0	0	46.52685714	0	0
61	0	0	0	0	0	0	63.87272727	0	0	60.4535	46.49672727	0	x	121	0	0	80.204	0	0	0	0	0	0	45.886	34.20446154	0
61.999	0	0	0	0	0	0	63.87272727	0	0	60.4535	46.49672727	0	x	122	0	83.02	0	0	0	0	0	0	0	45.24514286	34.21462088	0
