0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C				
50	0	0	0	0	0	0	0	0	0	3974400.809	0	0	159988.9147	2587669.557	0	0	0	0	0	x	******	******	4/9/1995	99	0	0	0	0	0	0	0	0	0	0	0	0	553016.5966	939215.8862	0	0	0	0	0
50.999	0	0	0	0	0	0	0	0	0	3974400.809	0	0	159988.9147	2587669.557	0	0	0	0	0	x	******	******	4/10/1995	100	0	0	0	0	0	0	0	0	0	0	0	0	602801.9624	867971.6063	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	2233539.98	0	0	159724.6845	3934362.601	0	0	0	0	0	x	******	******	4/11/1995	101	0	0	0	0	0	0	0	0	0	0	0	0	633804.9677	756994.9395	0	0	0	0	0
51.999	0	0	0	0	0	0	0	0	0	2233539.98	0	0	159724.6845	3934362.601	0	0	0	0	0	x	******	******	4/12/1995	102	0	0	0	0	0	0	0	0	0	68641.12351	0	0	646228.6783	914994.7883	0	0	0	0	0
52	0	0	0	0	74938.60896	158978.4789	0	0	0	2154615.899	0	0	98085.6602	4345509.621	0	0	0	0	0	x	******	******	4/13/1995	103	0	0	0	0	0	0	0	0	0	0	0	0	731102.8305	984110.5474	0	0	0	0	0
52.999	0	0	0	0	74938.60896	158978.4789	0	0	0	2154615.899	0	0	98085.6602	4345509.621	0	0	0	0	0	x	******	******	4/14/1995	104	0	0	0	0	0	0	0	0	0	0	0	0	662380.9701	991425.8083	0	0	0	0	0
53	0	0	0	0	0	0	0	0	0	1468177.752	0	0	143993.2037	2833574.865	0	0	0	0	0	x	******	******	4/15/1995	105	0	0	0	0	0	0	0	0	0	0	0	0	610178.3876	912254.6237	0	0	0	0	0
53.999	0	0	0	0	0	0	0	0	0	1468177.752	0	0	143993.2037	2833574.865	0	0	0	0	0	x	******	******	4/16/1995	106	0	0	0	0	0	0	0	0	0	0	0	0	408037.4229	976868.6838	0	0	0	0	0
54	0	0	0	0	0	0	0	0	0	757163.7533	0	0	64376.74233	1529550.1	0	0	0	0	0	x	******	******	4/17/1995	107	0	0	0	0	0	0	0	0	0	0	0	0	275968.8284	893440.4577	0	0	0	0	0
54.999	0	0	0	0	0	0	0	0	0	757163.7533	0	0	64376.74233	1529550.1	0	0	0	0	0	x	******	******	4/18/1995	108	0	0	0	0	0	0	0	0	0	0	0	0	223042.0596	874870.9493	0	0	0	0	0
55	0	0	0	0	0	0	0	0	0	694343.033	0	0	90846.24316	1575301.062	0	0	0	0	0	x	******	******	4/19/1995	109	0	0	0	0	0	0	0	0	0	0	0	0	175896.5488	738449.8969	0	0	0	0	0
55.999	0	0	0	0	0	0	0	0	0	694343.033	0	0	90846.24316	1575301.062	0	0	0	0	0	x	******	******	4/20/1995	110	0	0	0	0	0	0	0	0	0	0	0	0	175439.0392	596988.8989	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	1357553.392	0	0	99441.06305	1548731.252	0	0	0	0	0	x	******	******	4/21/1995	111	0	0	0	0	0	0	0	0	0	0	0	0	66485.69045	851383.8241	0	0	0	0	0
